text,start,end,confidence,line_number,line_position,audible_duration,pregap
five,2.14,4.04,0.422,0,0,1.9,2.14
mg,4.87,6.33,0.163,0,1,1.46,0.83
uhhuh,8.21,9.17,0.237,1,0,0.96,8.21
nnj,9.17,11.55,0.55,1,1,2.38,0.0
nndb,12.8,14.44,0.102,2,0,1.64,12.8
ok,20.58,20.84,0.213,5,0,0.26,20.58
make,20.84,21.29,0.331,5,1,0.45,0.0
dining,23.12,23.59,0.095,6,0,0.47,23.12
me,24.46,24.67,0.127,7,0,0.21,24.46
on,24.67,24.8,0.867,7,1,0.13,0.0
the,24.8,24.88,1.0,7,2,0.08,0.0
other,24.88,25.02,1.0,7,3,0.14,0.0
side,25.02,25.34,0.97,7,4,0.32,0.0
working,25.34,25.58,0.297,7,5,0.24,0.0
from,25.58,25.72,0.985,7,6,0.14,0.0
that,25.72,25.94,0.436,7,7,0.22,0.0
one,29.4,29.76,0.909,8,0,0.36,29.4
two,30.46,30.86,0.82,9,0,0.4,30.46
fn,30.89,32.87,0.438,9,1,1.98,0.03
and,41.24,41.33,0.956,13,0,0.09,41.24
nbsp,41.33,42.86,0.775,13,1,1.53,0.0
NATO,45.46,45.82,0.303,14,0,0.36,45.46
what,51.8,51.99,0.732,16,0,0.19,51.8
freelotto,51.99,52.43,0.682,16,1,0.44,0.0
cookies,52.46,52.92,0.073,16,2,0.46,0.03
one,53.26,53.67,1.0,16,3,0.41,0.34
true,54.21,54.55,0.175,17,0,0.34,54.21
pretty,54.92,55.15,0.159,17,1,0.23,0.37
nnj,57.66,58.83,0.518,19,0,1.17,57.66
and,59.7,59.87,1.0,20,0,0.17,59.7
nbsp,59.87,60.59,1.0,20,1,0.72,0.0
I'm,64.06,64.21,0.737,22,0,0.15,64.06
embarrassed,64.21,64.78,0.86,22,1,0.57,0.0
for,64.78,64.87,0.758,22,2,0.09,0.0
you,64.87,65.05,0.271,22,3,0.18,0.0
nd,65.19,66.35,0.108,22,4,1.16,0.14
you,68.24,68.34,0.753,23,0,0.1,68.24
heard,68.34,68.6,0.713,23,1,0.26,0.0
a,69.44,69.5,0.417,23,2,0.06,0.84
chance,69.5,69.79,0.186,23,3,0.29,0.0
my,69.79,69.93,0.989,23,4,0.14,0.0
growth,69.93,70.24,0.198,23,5,0.31,0.0
a,70.24,70.28,0.327,23,6,0.04,0.0
machine,70.28,70.61,0.942,23,7,0.33,0.0
to,70.61,70.73,1.0,23,8,0.12,0.0
draws,70.73,71.14,0.189,23,9,0.41,0.0
off,71.14,71.3,0.817,23,10,0.16,0.0
this,71.3,71.47,0.516,23,11,0.17,0.0
****,71.47,71.84,0.329,23,12,0.37,0.0
caught,72.48,72.72,0.195,24,0,0.24,72.48
on,72.72,72.82,0.321,24,1,0.1,0.0
something,72.82,73.15,0.334,24,2,0.33,0.0
and,73.37,73.54,0.32,24,3,0.17,0.22
I,73.54,73.66,0.113,24,4,0.12,0.0
get,75.78,76.01,0.883,25,0,0.23,75.78
over,76.01,76.19,0.981,25,1,0.18,0.0
there,76.19,76.3,0.407,25,2,0.11,0.0
were,76.3,76.39,0.17,25,3,0.09,0.0
cops,76.39,76.8,0.04,25,4,0.41,0.0
one,87.87,88.17,0.689,29,0,0.3,87.87
two,88.77,89.2,0.97,29,1,0.43,0.6
you,89.35,89.47,0.977,29,2,0.12,0.15
know,89.47,89.66,0.891,29,3,0.19,0.0
nnj,89.69,91.9,0.306,29,4,2.21,0.03
and,92.43,92.55,1.0,30,0,0.12,92.43
nbsp,92.55,93.77,0.999,30,1,1.22,0.0
nt,95.41,96.17,0.228,31,0,0.76,95.41
okay,99.82,100.12,0.969,33,0,0.3,99.82
mn,100.22,101.7,0.649,33,1,1.48,0.1
she's,107.51,108.09,0.288,34,0,0.58,107.51
my,109.31,109.55,0.994,34,1,0.24,1.22
****,109.55,109.94,0.537,34,2,0.39,0.0
kicked,109.94,110.39,0.571,34,3,0.45,0.0
moved,110.96,111.3,0.494,34,4,0.34,0.57
a,111.3,111.35,0.607,34,5,0.05,0.0
bit,111.35,111.56,0.633,34,6,0.21,0.0
when,111.56,111.68,1.0,34,7,0.12,0.0
I,111.68,111.73,1.0,34,8,0.05,0.0
was,111.73,111.89,1.0,34,9,0.16,0.0
alone,111.89,112.33,0.681,34,10,0.44,0.0
mostly,112.97,113.33,0.193,35,0,0.36,112.97
got,113.33,113.54,0.707,35,1,0.21,0.0
wedged,113.54,113.79,0.465,35,2,0.25,0.0
in,113.79,113.86,1.0,35,3,0.07,0.0
the,113.86,113.94,1.0,35,4,0.08,0.0
door,113.94,114.2,0.741,35,5,0.26,0.0
somehow,114.2,114.62,0.653,35,6,0.42,0.0
desk,115.02,115.3,1.0,35,7,0.28,0.4
is,115.3,115.42,0.986,35,8,0.12,0.0
empty,115.42,115.74,0.984,35,9,0.32,0.0
right,115.74,116.01,0.996,35,10,0.27,0.0
yeah,116.62,116.93,0.505,36,0,0.31,116.62
you,117.58,117.72,0.747,37,0,0.14,117.58
checked,117.72,118.06,0.318,37,1,0.34,0.0
right,120.97,121.19,0.15,38,0,0.22,120.97
this,121.19,121.36,0.97,38,1,0.17,0.0
way,121.36,121.5,0.513,38,2,0.14,0.0
we,121.5,121.62,0.251,38,3,0.12,0.0
never,121.62,121.83,0.927,38,4,0.21,0.0
going,121.83,121.96,0.548,38,5,0.13,0.0
to,121.96,122.02,0.548,38,6,0.06,0.0
get,122.02,122.28,0.818,38,7,0.26,0.0
it,122.28,122.45,0.66,38,8,0.17,0.0
what,130.48,130.73,0.924,39,0,0.25,130.48
if,132.23,132.65,0.612,40,0,0.42,132.23
unbelievable,137.34,137.97,0.994,42,0,0.63,137.34
under,138.74,139.08,0.443,43,0,0.34,138.74
a,139.08,139.11,0.237,43,1,0.03,0.0
****,139.11,139.49,0.615,43,2,0.38,0.0
livable,139.49,139.96,0.997,43,3,0.47,0.0
nd,158.15,159.15,0.823,44,0,1.0,158.15
nnj,162.07,165.42,0.324,47,0,3.35,162.07
nnj,166.68,168.62,0.196,48,0,1.94,166.68
leann,170.25,171.97,0.854,49,0,1.72,170.25
one,174.15,174.44,0.236,50,0,0.29,174.15
the,177.83,178.24,0.564,51,0,0.41,177.83
all,178.64,178.9,0.79,52,0,0.26,178.64
through,178.9,179.21,0.129,52,1,0.31,0.0
