line_number,start,end,confidence,word_count,audible_duration,text
0,3.35,25.59,0.929,0,22.24,when it comes to great steaks I just raise the stakes the sharper image is one of my favorite stores with fantastic products of all kinds that's why I'm thrilled they agree with me trump steaks are the world's greatest steaks and I mean that in every sense of the word and the sharper image is the only store where you can buy them
1,26.17,32.58,0.978,64,6.41,trump steaks are by far the best tasting most flavorful beef you've ever had truly in a league of their own
2,33.08,44.69,0.958,85,11.61,trump steaks are five star gourmet quality that belong in a very very select category of restaurant and are certified Angus beef prime there's nothing better than that
3,45.27,51.09,0.97,113,5.82,of all of the beef produced in America less than one percent qualifies for that category
4,51.33,60.94,0.921,129,9.61,it's the best of the best until now you can only enjoy stakes of this quality in one of my resort restaurants or America's finest steak houses
5,61.26,71.67,0.955,156,10.41,but now that's changed today through the sharper image you can enjoy the world's greatest stakes in your own home with family friends anytime
6,72.11,76.96,0.838,180,4.85,trump steaks are aged to perfection to provide the ultimate in tenderness and flavor
7,77.35,81.16,0.915,194,3.81,if you like your steak you'll absolutely love trump steaks
8,81.34,95.3,0.952,204,13.96,treat yourself to the very very best life has to offer and is a gift trump steaks are the best you can give one bite and you'll know exactly what I'm talking about and believe me I understand stakes
9,95.57,98.43,0.926,243,2.86,it's my favorite food and these are the best
